ID,SEX,EDUCATION,MARRIAGE,AGE,LIMIT_BAL,bill_ap,bill_m,bill_ju,bill_jy,bill_ag,bill_s,pmt_ap,pmt_m,pmt_ju,pmt_jy,pmt_ag,pmt_s,pay_ap,pay_m,pay_ju,pay_jy,pay_ag,pay_s,DEFAULT
13709,male,university,1,45,470000,130586,182826,198425,220728,279104,293261,6000,4771,10000,10000,10018,18000,0,0,0,0,0,0,not default
13710,female,high school,1,41,180000,1985,3182,11112,13920,3576,6092,3276,1985,3182,11112,13935,4198,-1,-1,-1,-1,-1,-1,not default
13711,male,university,1,33,240000,1128,0,8626,14653,19867,23486,0,1128,1790,0,2000,3000,-1,0,0,0,0,0,not default
13712,male,graduate school,1,30,200000,2500,2500,2500,2500,2500,2500,0,0,0,0,0,0,2,2,2,2,2,2,default
13713,male,university,2,40,20000,18011,18577,19434,19930,20496,20753,0,0,0,70,0,0,3,4,5,6,7,8,default
13714,female,university,2,32,80000,15160,14856,14643,14207,14038,11572,570,550,600,672,700,2670,0,0,0,2,0,0,default
13715,male,university,2,54,30000,0,13525,13055,13565,13075,10568,0,2000,1000,0,1000,3000,2,2,2,2,0,0,not default
13716,female,graduate school,2,35,200000,0,3240,3240,0,0,816,0,0,0,3240,0,0,0,0,-1,-2,-1,-1,not default
13717,female,university,1,38,100000,57506,66537,27848,25762,43930,66459,2560,2500,40000,3000,1700,0,0,0,0,0,2,1,not default
13718,female,high school,1,30,70000,61617,60367,58957,58008,57550,56448,2500,2400,2500,2500,2000,2600,2,2,2,2,2,2,default
13719,male,university,1,30,140000,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,1,not default
13720,female,university,1,27,30000,30431,29903,29048,28203,27536,26648,1000,1600,1600,1600,1400,1600,4,3,3,2,2,2,not default
13721,female,university,2,27,100000,95803,103039,98561,97565,96908,96191,3600,0,7500,3800,3500,3504,2,0,0,0,0,0,default
13722,male,university,2,38,60000,39737,40366,40840,41300,42108,42184,1400,1600,1700,1566,1616,2014,0,0,0,0,0,0,not default
13723,female,graduate school,2,23,50000,8047,2480,1170,2545,2763,8225,4428,8047,2480,1170,0,5308,-1,-1,-1,2,-1,-1,not default
13724,female,graduate school,1,35,120000,150,0,0,0,0,0,974,150,0,0,0,0,-2,-2,-2,-2,-2,-2,not default
13725,male,high school,2,23,50000,7881,4270,5087,1600,6609,42821,1000,7881,4270,5087,1600,1008,-1,-1,-1,-1,0,0,not default
13726,male,university,2,28,300000,294383,287816,286885,295173,299066,293498,10500,11080,10500,10026,11067,13007,0,0,0,0,0,0,not default
13727,female,graduate school,1,36,360000,0,0,9594,10947,467,2471,37704,0,0,0,11000,1000,-2,0,0,-1,-1,-1,not default
13728,female,university,1,36,40000,29645,26254,27447,27556,25840,24230,0,4000,1500,1500,2500,2000,0,0,0,0,0,0,not default
13729,female,university,2,40,190000,0,0,0,0,18779,18255,0,0,0,0,0,19241,-2,-2,-2,-1,-1,-1,not default
13730,female,graduate school,2,23,30000,25972,26579,29288,2142,15253,14294,553,501,800,28000,2000,1300,0,0,0,0,0,0,not default
13731,female,high school,2,47,280000,3076,607,1153,2292,0,1792,4983,3076,0,1153,2292,0,-1,2,-1,-1,2,2,default
13732,female,university,2,23,30000,25478,26149,25806,30300,26501,25287,1500,3000,1092,868,5000,2011,0,0,0,0,0,0,not default
13733,female,graduate school,1,32,500000,293233,288459,282562,0,10573,185419,8928,9572,11000,282562,0,10573,0,0,-1,-1,-1,-1,not default
13734,female,graduate school,2,32,260000,3179,5351,2085,1384,5499,1694,1894,15,5361,2095,1390,5525,0,-1,-1,-1,-1,-1,not default
13735,female,university,1,46,60000,22601,22324,22431,22388,21395,20351,0,2000,1000,1000,2000,2000,0,0,0,0,0,0,not default
13736,female,high school,1,36,70000,32602,31935,31239,32054,29558,28518,1300,1200,1200,0,3000,1504,0,0,2,0,0,0,default
13737,male,university,2,27,30000,26979,24131,29383,28236,29058,25465,2000,5000,0,2000,0,4000,0,2,2,2,2,2,not default
13738,male,high school,1,37,300000,2503,4409,1961,3351,2847,4926,1139,2509,4419,1965,3357,2855,-1,-1,-1,-1,-1,-1,not default
13739,female,university,2,22,30000,29446,29071,27170,27915,26449,26163,6,1001,2500,0,2201,1000,2,2,2,2,2,2,not default
13740,male,high school,2,43,40000,2400,2400,2400,2400,2400,2400,0,0,0,0,0,0,7,7,7,7,2,2,default
13741,male,graduate school,2,25,80000,57312,56721,53571,53012,58048,65734,5000,3000,4000,2000,3404,3000,0,0,0,0,0,0,not default
13742,male,graduate school,2,35,50000,18383,18161,18397,18188,19142,48264,647,673,1000,795,7240,1565,0,0,0,0,0,0,default
13743,female,graduate school,1,38,90000,2716,538,41936,16360,15271,2346,652,2716,538,30000,2000,15271,-1,-1,0,0,-1,-1,not default
13744,male,graduate school,2,29,260000,2497,2497,2497,2497,2497,2497,0,0,0,0,0,0,2,2,2,2,2,2,default
13745,female,graduate school,1,58,100000,33714,34419,30090,30882,26325,27044,5000,0,5000,0,5000,0,2,2,2,2,2,1,default
13746,male,graduate school,2,34,280000,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,1,not default
13747,female,university,1,22,80000,0,0,0,16361,15576,17087,0,0,0,0,1049,1500,-2,-2,0,0,0,0,not default
13748,female,university,2,27,150000,150770,142808,139846,147248,147891,143596,0,9600,4500,4400,5000,6241,0,0,0,0,0,0,not default
13749,female,university,2,39,90000,20971,13273,385,371,8489,2618,14045,10022,13278,1501,11336,7639,0,-1,-2,0,0,-1,not default
13750,female,graduate school,1,33,130000,5472,7047,12446,15206,7439,10653,1725,5488,21,30,12454,13,-1,0,0,0,2,-1,not default
13751,male,university,2,36,210000,23960,8517,17891,14307,8398,5491,1000,23960,0,6000,14307,8406,-1,0,0,-1,-1,-1,not default
13752,female,graduate school,2,44,420000,3578,3091,3343,3360,1560,559,1500,1276,62,100,2400,1001,0,0,0,0,0,-1,not default
13753,male,graduate school,2,39,500000,856,1095,43180,52196,143227,128068,50000,856,1095,0,12000,20000,-1,-1,0,0,0,0,not default
13754,male,graduate school,2,30,180000,1157,817,-688,-193,-698,-203,2000,1000,2000,0,1000,0,-1,-1,-2,-2,-2,1,default
13755,female,university,1,36,150000,136320,139827,137453,142139,145408,141460,5100,5016,5029,6000,5066,8021,0,0,0,2,0,0,not default
13756,male,graduate school,2,30,440000,49512,47421,45962,54190,52938,50735,3000,3000,2150,2000,3000,3000,0,0,0,0,0,0,not default
13757,male,graduate school,2,27,50000,20256,19851,19595,38376,49907,49114,701,727,713,840,1323,2005,0,0,0,0,0,0,not default
13758,male,university,1,29,140000,0,0,594,3074,1300,3300,0,0,0,0,3668,1300,-2,0,0,-1,-1,-1,default
13759,male,graduate school,2,29,150000,96190,99940,101179,109765,115349,119613,5000,5000,4500,4588,5019,5900,0,0,0,0,0,0,not default
13760,female,university,2,27,150000,0,0,693,220,0,573,0,0,0,693,220,0,-2,-1,-1,-1,2,2,not default
13761,male,other,2,49,480000,0,0,0,0,0,7174,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,not default
13762,female,graduate school,2,35,100000,74885,77833,76232,84891,90779,99031,2600,2913,2626,3000,4300,3300,0,0,0,0,0,0,not default
13763,female,graduate school,2,33,310000,44325,45740,59912,63399,72440,71855,2000,3000,25000,3000,5000,5000,0,0,0,0,0,0,not default
13764,female,graduate school,2,27,280000,22478,37684,36000,34855,58180,56144,2000,2000,2000,2000,5000,5000,0,0,0,0,0,0,not default
13765,male,university,2,51,60000,15549,14447,13319,12334,11330,10304,1500,1500,1500,1500,1500,1500,0,0,0,0,0,-1,default
13766,female,graduate school,2,31,160000,0,10199,0,-200,-200,-200,0,303,10199,200,0,0,-1,-1,-2,-2,-2,1,not default
13767,male,university,1,48,90000,46842,48745,50346,51790,52385,51666,1061,1414,1722,1700,3005,2919,0,0,0,0,0,0,not default
13768,female,graduate school,2,28,50000,1210,589,1309,435,1252,2926,1065,1210,589,1309,435,1254,-1,-1,-1,-1,-1,-1,not default
13769,female,university,1,26,200000,51572,50564,49361,48160,47247,45487,2000,2000,2000,2000,2000,2800,0,0,0,0,0,0,not default
13770,male,university,2,67,240000,425061,419209,442401,468202,471796,508581,196084,13133,16000,15167,80167,17389,0,0,0,0,0,0,not default
13771,female,graduate school,1,32,200000,3044,4203,6081,1198,810,846,0,3044,4203,6081,1198,864,-1,-1,-1,-1,-1,-1,not default
13772,female,university,2,23,100000,80063,78453,4370,79618,102878,101771,2698,2861,79681,971,7,3800,0,-1,-1,-2,-2,-2,default
13773,female,graduate school,2,29,50000,6977,8614,8686,10099,46815,45367,1000,1000,500,500,1629,2335,0,0,0,0,0,2,default
13774,female,graduate school,2,30,240000,1003,1003,1003,3503,1087,1749,203,1003,1003,1003,6430,1099,-1,-1,-1,-1,-1,-1,not default
13775,female,graduate school,2,25,300000,0,120,10520,10610,-231,-4,0,0,100,0,10841,227,0,0,0,-1,-2,1,not default
13776,female,high school,1,43,350000,3330,3520,92400,54554,5397,14103,21852,3330,3520,83288,54554,0,-1,-1,0,-1,2,-1,not default
13777,female,high school,1,26,50000,26192,27207,25916,34992,42779,48421,1500,1500,1677,1500,1424,0,0,0,0,0,2,1,default
13778,female,university,1,36,50000,29661,29313,29254,28923,38296,46801,1007,1196,1035,1159,1438,2839,0,0,0,0,0,0,not default
13779,female,university,2,25,30000,26868,26353,25714,25429,25038,24022,1200,1100,1200,1000,1100,1700,2,2,2,2,2,2,default
13780,male,university,1,47,50000,4702,1000,0,2640,0,-2640,36015,4702,1000,1500,2640,2640,-2,-2,-2,-2,-2,-2,not default
13781,female,university,1,34,20000,9558,9863,10313,9618,7759,6827,508,0,0,1000,2000,1200,2,3,2,0,0,0,default
13782,female,university,2,30,270000,180129,210514,219426,225836,276971,280435,10000,7000,10000,7000,8000,13600,0,0,0,0,0,0,not default
13783,male,graduate school,1,49,380000,309322,547880,308948,356474,380703,380933,11525,12015,13532,13479,12238,14651,0,0,0,0,0,2,default
13784,female,university,2,22,10000,7944,8224,7720,7995,8270,8541,158,0,778,0,0,0,2,2,2,3,4,5,default
13785,female,university,2,29,80000,2590,5697,5964,4761,8316,7880,1000,1000,1023,2093,3002,3034,0,0,0,0,0,0,not default
13786,female,university,1,35,240000,35910,35238,34539,33996,33444,32463,0,1400,1400,1400,1400,1800,2,2,2,2,2,2,default
13787,female,graduate school,2,35,280000,110915,108590,106361,106539,213513,211645,4035,4069,3881,3800,5245,6445,0,0,0,0,0,0,not default
13788,male,graduate school,2,41,160000,52336,49142,50072,44843,43874,42863,2000,4200,0,6000,2000,2000,2,2,0,0,0,0,not default
13789,female,graduate school,2,25,180000,58067,62770,66661,71259,83515,112403,2400,2300,3000,3000,3500,3500,0,0,0,0,0,0,not default
13790,female,university,1,35,50000,3955,4645,5315,6974,5764,4555,1500,1000,1000,0,1500,1290,0,0,2,0,0,0,not default
13791,male,university,1,37,50000,28071,29257,29876,26669,31113,33105,2000,2000,1002,4800,5000,10005,0,0,0,0,0,0,not default
13792,male,university,2,22,20000,14763,14472,14174,15040,13536,14380,1585,532,526,0,2040,0,0,0,2,2,2,1,not default
13793,male,university,2,33,20000,0,19275,19589,19597,18668,18357,0,0,386,392,1400,1471,0,0,0,0,0,0,not default
13794,male,graduate school,2,27,140000,41584,42670,43920,60180,70098,72274,2000,2000,1800,3499,2290,3231,0,0,0,0,0,0,not default
13795,male,university,2,28,360000,8788,1090,0,0,0,0,170027,7910,1090,0,0,0,0,-1,-2,-2,-2,-2,not default
13796,male,university,1,49,180000,1470,36906,660,660,660,26660,0,1320,36906,660,660,660,-1,-1,-1,-1,-1,-1,not default
13797,male,graduate school,1,36,390000,4765,8330,3815,1600,3625,3931,2171,4765,11645,3315,1600,3625,-1,-1,-2,-2,-2,-2,default
13798,female,high school,1,33,30000,27687,29704,31976,35435,38049,39995,3330,1000,1030,0,1100,1700,0,0,2,2,2,1,not default
13799,female,graduate school,1,35,210000,0,0,0,0,0,3805,0,0,0,0,0,0,-2,-2,-2,-2,-1,-1,not default
13800,male,university,2,24,20000,10812,9977,9282,9582,7171,6128,0,1000,1000,0,2700,1300,0,0,2,0,0,0,not default
13801,male,graduate school,1,43,450000,0,0,0,0,0,1000,0,0,0,0,0,0,-2,-2,-2,-2,2,2,not default
13802,male,high school,1,24,50000,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,1,not default
13803,male,high school,2,46,50000,48694,49910,49725,49310,48161,49220,2012,2000,2007,1900,2000,0,0,0,0,0,2,1,default
13804,male,university,2,39,20000,19751,19287,18890,19082,20202,19518,3730,776,692,667,0,1299,0,0,0,2,2,2,default
13805,female,graduate school,2,39,200000,33016,31948,10496,3889,15540,7475,8910,33181,32108,10549,3927,15617,-1,-1,-1,-1,-1,-1,not default
13806,female,graduate school,2,27,230000,35820,40391,42944,54176,66310,70327,1330,1565,1532,1534,1941,2963,0,0,0,0,0,0,not default
13807,male,university,1,41,50000,3679,6406,7470,48999,48293,48958,1000,500,706,349,2602,2572,0,0,0,0,0,2,default
13808,female,university,2,26,50000,9662,27204,46730,47475,47349,44883,194,0,1590,101,1500,3189,2,2,2,2,0,0,not default
13809,male,graduate school,2,57,50000,18728,20142,21944,49175,50484,51102,374,1000,696,927,2158,2500,0,0,0,0,0,0,not default
13810,male,university,2,23,20000,16245,15925,15173,15723,15726,9811,1000,585,1000,0,547,6097,0,0,2,2,0,0,not default
13811,male,graduate school,1,47,40000,14005,14386,12595,13102,12605,11084,2000,0,2000,0,1000,2000,2,2,2,2,2,2,not default
13812,male,graduate school,2,26,100000,2274,4580,0,508,390,567,0,2274,4580,0,508,390,-1,-1,-1,-1,-1,-1,not default
13813,female,university,1,43,150000,116382,113925,162697,157537,149298,158844,5000,5012,5008,8014,10009,10004,0,0,0,0,0,0,not default
13814,male,graduate school,1,36,240000,19406,18013,18450,17242,15513,14559,700,1700,0,1500,2000,1500,2,2,0,0,0,0,not default
13815,male,university,1,37,360000,0,0,2280,2280,3584,-5,0,0,0,0,2280,3589,-2,0,0,-1,-1,-2,not default
13816,male,graduate school,2,43,130000,101303,101689,101971,131862,132743,130874,3800,4000,4000,4000,6000,5500,0,0,0,0,0,0,not default
13817,female,university,2,23,50000,10771,15918,13656,12218,25768,10587,0,1000,3500,1980,2500,3500,0,0,2,2,0,0,not default
13818,male,university,1,60,160000,21336,20920,20643,20093,19385,18056,942,763,758,884,1334,1626,0,0,0,0,0,0,not default
13819,female,university,1,32,340000,0,15559,43557,74983,96716,34228,394,0,77,766,2047,75113,0,0,0,0,0,0,not default
13820,male,high school,2,23,20000,3107,-193,1587,3064,3544,2331,0,5000,0,2100,2300,2700,-1,-1,-1,0,0,0,default
13821,male,high school,2,52,60000,25353,23756,26305,24665,23592,22460,2000,2000,1500,2000,1500,1500,0,0,0,0,0,0,not default
13822,female,university,1,35,220000,174076,171145,174717,227153,226034,223150,9000,6600,6200,6300,9200,10000,0,0,0,0,0,0,not default
13823,female,graduate school,1,32,280000,282,17041,23323,10802,2816,1280,7501,282,10041,13000,10802,2816,-1,0,0,-1,-1,-1,default
13824,male,university,1,30,60000,30031,30565,59509,54853,60069,58920,1200,1300,1500,1500,1887,2319,0,0,0,0,0,0,not default
13825,male,graduate school,1,42,230000,62195,60986,60604,160270,161817,222059,2304,2223,2300,2308,4160,7300,0,0,0,0,0,2,default
13826,female,high school,0,41,120000,881,1344,0,0,0,3307,599,929,1344,0,0,258,-1,-1,-2,-2,0,0,not default
13827,female,graduate school,2,30,240000,290,7804,22749,32384,18428,325,350,300,0,0,15000,18428,-1,0,0,0,-1,-1,not default
13828,female,graduate school,1,29,420000,4249,1822,6850,1985,2916,3020,444,4249,1822,6860,1985,2916,-1,-1,-1,-1,-1,-2,not default
13829,female,university,2,31,230000,81775,80158,1255,0,0,47906,2857,3107,80158,1255,0,0,0,-1,-1,-2,0,0,not default
13830,female,graduate school,2,26,30000,4681,1558,18587,29412,29586,30739,8,5363,5,49,1331,0,-1,0,0,0,2,1,default
13831,female,university,1,30,210000,104545,125294,124843,135173,136326,134664,4000,4000,4392,8500,5005,6006,0,0,0,0,0,0,not default
13832,male,graduate school,2,29,250000,57985,55685,54503,53779,52542,51268,4100,3000,2000,2000,2500,2500,0,0,0,0,0,0,not default
13833,female,university,1,34,70000,52652,51511,55700,54448,53334,58053,2142,2000,1900,2181,1999,2000,0,0,0,0,0,0,not default
13834,female,university,2,43,20000,19275,20107,15961,19930,20749,20212,13000,3000,6000,421,1400,1415,0,0,0,0,0,0,not default
13835,male,high school,1,44,130000,88069,86846,84865,118909,122189,123770,3100,3500,3500,3500,4871,4600,0,0,0,0,0,0,not default
13836,male,graduate school,1,41,460000,327232,325857,325874,316330,318546,321987,11080,12000,11200,16700,12850,12000,0,0,0,0,0,0,not default
13837,female,university,2,29,170000,0,0,0,0,0,5155,0,0,0,0,0,0,-2,-2,-2,-2,0,0,not default
13838,male,university,2,31,200000,1260,1489,1271,3802,7626,7179,1373,1260,1489,1271,3803,7631,-1,-1,-1,-1,-1,-1,not default
13839,male,high school,1,43,70000,51651,50052,35668,34242,32786,31796,0,3000,15000,2000,2000,1500,6,0,0,0,0,0,default
13840,female,graduate school,1,32,200000,110,32836,11946,110,110,220,0,110,21000,11946,110,0,-1,0,-1,-1,2,-1,default
13841,female,university,2,30,20000,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,1,default
13842,male,high school,2,55,200000,156612,162943,159556,176158,182942,195507,6000,6000,5800,6000,6000,7048,0,0,0,0,0,0,not default
13843,male,university,2,45,250000,245310,240521,242803,240337,241605,237510,9008,10011,9000,9031,9007,9076,0,0,0,0,0,2,default
13844,male,university,1,34,50000,11728,12173,15031,15360,35203,37699,1000,1000,2000,1150,2000,2000,0,0,0,0,0,0,not default
13845,female,university,2,25,30000,31093,30690,29687,28456,26693,25664,11,1049,1626,2000,2211,1448,2,2,2,0,0,0,not default
13846,male,graduate school,1,44,50000,20153,19677,20208,49019,50782,50404,560,2000,1000,1000,1440,2300,0,0,0,0,0,-1,not default
13847,male,high school,1,45,90000,16744,16569,16080,16044,14394,13366,775,599,747,600,1900,1250,0,0,0,0,0,0,not default
13848,male,graduate school,2,34,360000,0,0,0,0,0,2500,0,0,0,0,0,0,-2,-2,-2,-2,2,2,not default
13849,female,university,1,45,290000,176,1055,1217,-6,-6,95,1190,0,1276,1223,0,6,-2,-2,-2,-2,2,2,not default
13850,male,graduate school,2,24,170000,97884,101555,96704,158426,171851,169883,3500,0,9100,3510,4625,6808,2,0,0,0,0,0,not default
13851,female,graduate school,1,52,290000,9780,119685,119955,470,2682,33765,2412,9780,0,119685,470,2682,-1,0,0,-1,-1,-1,not default
13852,male,high school,2,39,30000,25011,24528,24865,28404,27206,27934,917,1042,1100,1100,2000,0,0,0,0,0,2,1,default
13853,female,graduate school,1,25,250000,5138,8162,13214,23393,6720,4769,18148,3000,0,6000,23393,6720,0,0,0,-1,-1,-1,not default
13854,male,high school,2,32,210000,73425,71416,69037,108462,105661,104558,3000,3500,3500,3000,5000,4268,0,0,0,0,0,0,not default
13855,female,graduate school,1,30,360000,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,1,default
13856,female,university,1,37,120000,60783,74429,72861,35222,53236,78233,2250,2400,2500,39000,2200,2015,0,0,0,0,0,0,not default
13857,male,graduate school,2,28,170000,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,default
13858,male,high school,2,55,20000,1650,750,1500,2250,3206,3413,0,1650,0,0,0,0,-1,0,0,2,3,-1,not default
13859,male,university,1,25,80000,50404,49778,49369,48977,79640,77199,1200,1866,1610,1600,1600,3700,0,0,0,0,0,0,not default
13860,female,university,1,43,200000,2296,3486,2681,316,2239,1875,3413,2296,3486,2681,316,2239,-1,-1,-1,-1,-1,-1,not default
13861,female,graduate school,2,32,150000,33010,37259,38117,35729,36488,35601,9,2088,13,3419,2000,2003,2,2,0,0,0,0,not default
13862,female,high school,1,44,110000,66974,65873,64534,67431,70263,13348,1473,2338,2530,2458,2378,67431,0,0,0,0,0,0,default
13863,female,university,2,26,180000,467,780,4167,5248,390,390,3513,467,780,5,5248,390,-1,-1,0,-1,-1,-1,not default
13864,female,high school,1,41,520000,402289,395445,387189,385425,2728,7322,15200,14000,14005,14000,415552,2728,0,0,0,-1,-2,-2,not default
13865,male,high school,1,44,20000,16086,15494,14883,15428,12943,12436,850,850,850,0,2700,1000,0,0,2,2,2,2,default
13866,female,university,2,44,180000,7184,7344,7184,7184,7433,7432,7184,7184,7344,7184,7184,7433,-1,-1,-1,-1,-1,-1,not default
13867,male,high school,1,36,30000,390,390,780,390,1555,1493,0,390,0,780,390,1858,-1,0,-1,-1,-1,-1,not default
13868,female,graduate school,1,31,380000,199300,194710,197959,227387,225515,225905,8000,8000,0,15000,9000,11000,0,2,0,0,0,0,not default
13869,female,graduate school,2,42,160000,0,0,0,0,0,4980,0,0,0,0,0,0,-2,-2,-2,-2,-1,-1,not default
13870,male,graduate school,2,32,220000,316,316,632,632,316,17715,632,316,0,316,632,316,-1,0,0,-1,-1,-1,not default
13871,male,graduate school,2,29,250000,88001,92826,94002,92934,93302,124442,5000,4000,4000,3500,5000,5000,0,0,0,0,0,0,not default
13872,male,graduate school,1,53,330000,9584,7643,3542,-3283,-2066,-317,7,2188,7645,6976,817,569,0,-1,-1,-1,-2,1,not default
13873,male,university,2,26,50000,26264,25544,25773,49885,49102,24724,0,1175,957,796,2010,25000,0,0,0,0,0,2,not default
13874,female,graduate school,2,35,340000,38472,81011,41971,44852,15904,484,10000,20000,50000,20000,30000,15904,0,0,0,0,-1,-1,not default
13875,female,university,1,41,180000,94131,95549,96846,96462,102359,99925,3650,4000,4000,3500,4300,5024,0,0,0,0,0,0,not default
13876,male,graduate school,2,35,30000,26425,25999,25990,28280,28144,26974,0,1043,1125,849,1339,2000,0,0,0,0,0,0,default
13877,male,high school,2,45,10000,9039,8838,8126,9407,7238,9503,335,500,1000,0,2310,0,0,0,2,2,2,1,not default
13878,female,university,1,37,120000,396,3247,2707,396,396,396,595,396,3247,2707,396,396,-1,-1,-1,-1,-1,-1,not default
13879,female,university,2,38,250000,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,1,default
13880,female,graduate school,2,39,200000,2723,6471,8738,13207,16002,2277,3974,2731,6482,185,1005,16021,-1,-1,0,0,-1,-1,not default
13881,female,graduate school,2,32,500000,325369,318647,312314,307591,304686,298809,11000,12000,11545,11354,12650,12475,0,0,0,0,0,0,default
13882,female,graduate school,2,29,90000,10771,10564,10350,10267,9078,9370,550,531,529,550,1500,0,0,0,0,0,2,1,default
13883,male,high school,2,38,80000,15899,13117,11474,10656,9123,7790,0,3000,2000,1000,2000,1467,0,0,0,0,0,0,not default
13884,female,university,1,35,740000,25449,8988,15713,1477,8154,960,7003,25596,9012,15754,1487,8229,-1,-1,-1,-1,-1,2,default
13885,male,graduate school,2,34,300000,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,1,default
13886,male,high school,1,44,210000,2694,2380,2340,850,800,1525,1530,2694,2380,2340,850,800,-2,-2,-2,-2,-2,-2,not default
13887,male,graduate school,1,37,230000,17825,7652,5770,5711,30428,3102,360,17914,7690,5799,5739,30580,-1,-1,-1,-1,-1,-1,not default
13888,male,high school,2,51,270000,65672,6741,6102,105562,101616,152979,3000,63000,1000,1000,4000,3500,0,0,0,0,0,0,not default
13889,female,graduate school,2,32,270000,31723,33334,57456,57875,55423,54914,1000,1500,1337,3300,5000,3000,0,0,0,0,0,0,not default
13890,female,graduate school,2,30,180000,3858,256,2414,735,2647,0,275,3858,256,2414,735,2647,-1,-1,-1,-1,-1,-2,not default
13891,female,university,2,30,280000,10260,7666,22633,12353,-3,1478,290,10310,1447,11079,12356,0,-1,0,0,-1,-1,-1,not default
13892,male,university,2,46,50000,17352,16784,20154,21751,26289,29254,3100,1000,8000,668,1300,1737,0,0,0,0,0,0,not default
13893,female,university,2,26,20000,19791,19978,19405,19384,20018,19017,483,670,847,600,0,1600,0,0,0,2,2,2,default
13894,female,high school,1,54,170000,127093,126635,127013,130585,136982,139211,6000,6000,6000,7000,7005,7020,0,0,0,0,0,0,not default
13895,female,university,1,39,300000,107005,104922,123417,151878,148586,145138,3970,3830,3811,4728,6163,5785,0,0,0,0,0,0,not default
13896,male,university,1,50,20000,950,1340,1895,1285,675,1065,450,0,0,1000,1000,0,0,2,0,0,2,1,default
13897,female,university,2,31,110000,3340,9298,7496,5496,2785,1472,93665,0,2000,2000,3000,1500,2,0,0,0,0,2,default
13898,male,university,1,54,80000,48678,47722,48457,46037,47270,47339,1396,1569,0,3012,0,967,0,2,2,2,3,1,not default
13899,female,graduate school,2,23,80000,28737,29648,48965,60514,66342,69584,663,1505,1015,1434,1838,2519,0,0,0,0,0,0,not default
13900,female,university,1,48,60000,16802,17281,19513,33908,59987,58794,390,851,759,19513,1903,7296,0,0,-1,0,0,0,not default
13901,male,university,2,27,30000,15413,15014,15566,14793,17298,18951,1000,800,1000,1000,1300,1270,0,0,0,0,0,0,not default
13902,male,graduate school,2,26,40000,13306,11188,22949,9369,12302,39723,4000,3000,0,15000,92,10000,0,2,2,2,0,0,not default
13903,female,high school,1,43,180000,11337,1835,498,498,2602,0,380,10000,1835,498,498,2602,-1,-1,-1,-1,-1,1,default
13904,male,university,1,50,290000,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,1,not default
13905,female,graduate school,2,26,50000,28171,27302,28568,28317,27031,27056,1500,1500,700,969,2062,700,0,2,2,2,2,3,default
13906,female,graduate school,2,32,150000,2392,11498,15183,13155,14045,1663,7007,2392,0,5183,1030,14045,-1,0,0,0,-1,-1,not default
13907,male,university,1,41,50000,18478,18450,523,49966,50756,50220,968,806,18868,523,1000,2055,0,-1,0,0,0,0,not default
13908,male,university,1,36,20000,12501,15628,19772,21017,21790,20710,0,1430,512,691,1453,1739,0,0,0,0,0,0,not default
13909,female,graduate school,2,28,180000,172401,169075,165604,163620,161695,158245,6300,6200,6200,6100,6000,7400,2,2,2,2,2,2,not default
13910,male,graduate school,2,30,360000,5057,2722,2040,2720,4297,30627,5105,5273,2736,2050,2740,4318,-1,-1,-1,-1,-1,-1,not default
13911,female,high school,1,33,90000,86184,84488,84511,87235,85585,86960,3500,3100,3100,3000,3114,3200,0,0,0,0,0,0,default
13912,male,graduate school,1,48,450000,13187,20926,22048,37417,80176,20938,88744,13337,20926,22080,37417,80191,-2,-2,-2,-2,-2,-2,not default
13913,male,graduate school,2,29,140000,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,1,not default
13914,female,graduate school,2,27,400000,430,0,27926,426,426,2691,3504,430,27500,27926,426,426,-1,-1,-1,-1,-1,-1,not default
13915,female,university,1,30,50000,0,6170,2464,3139,423,4959,0,0,6170,5428,6024,0,-1,-1,-1,-1,2,-1,not default
13916,female,university,1,50,420000,258353,249697,277995,411394,412684,405779,35000,13000,99000,182781,15000,16000,0,0,0,0,0,0,not default
13917,female,graduate school,2,35,390000,246330,247613,243287,244361,243904,245997,15000,9000,9200,10000,9110,10800,0,0,0,0,0,0,default
13918,female,university,1,40,200000,10466,13621,9846,17965,32910,39929,9900,10500,13650,9900,18000,33000,-2,-2,-2,-2,-2,-2,not default
13919,male,graduate school,2,29,130000,62655,67024,71451,99784,108204,110524,8200,7500,4000,4000,5000,10000,0,0,0,0,0,0,not default
13920,female,graduate school,2,36,360000,3540,390,390,863,2703,1365,390,3540,390,1000,1000,3000,-1,-1,-1,-1,-1,-1,not default
